-2.666676839192700044e+00 7.140000152587890625e+01 4.669053333333333098e-04
-2.626647949218699818e+00 7.139399719238279829e+01 -2.980250000000000477e-05
-2.586669921875000000e+00 7.138800048828119316e+01 -4.967099999999999250e-05
-2.546691894531199818e+00 7.138200378417970171e+01 2.384196666666666363e-04
-2.506663004557299956e+00 7.137599945068359375e+01 1.589466666666666740e-04
-2.463328043619799956e+00 7.136949920654299717e+01 4.768400000000000221e-04
-2.423350016276000218e+00 7.136350250244140625e+01 6.059853333333333402e-04
-2.383321126302099913e+00 7.135749816894529829e+01 4.371033333333333129e-04
-2.339986165364599913e+00 7.135099792480470171e+01 6.059833333333333088e-04
-2.300008138020800175e+00 7.134500122070309658e+01 6.059855000000000276e-04
-2.259979248046899869e+00 7.133899688720700283e+01 1.589465333333333404e-04
-2.220001220703100131e+00 7.133300018310549717e+01 5.960533333333333005e-05
-2.176666259765600131e+00 7.132649993896480112e+01 5.761806666666666708e-04
-2.136688232421899869e+00 7.132050323486329546e+01 5.761806666666665624e-04
-2.096659342447900087e+00 7.131449890136720171e+01 7.053266666666666842e-04
-2.056681315104199825e+00 7.130850219726559658e+01 4.172346666666666378e-04
-2.013346354166699825e+00 7.130200195312500000e+01 1.092756666666666680e-04
-1.973317464192700044e+00 7.129599761962890625e+01 2.185524999999999848e-04
-1.933339436849000004e+00 7.129000091552730112e+01 2.880903333333333354e-04
-1.893310546875000000e+00 7.128399658203119316e+01 2.880906666666666559e-04
-1.849975585937500000e+00 7.127749633789059658e+01 4.371030000000000466e-04
-1.809997558593700040e+00 7.127149963378910513e+01 4.967076666666666272e-04
-1.770019531250000000e+00 7.126550292968750000e+01 3.476954999999999781e-04
-1.726684570312500000e+00 7.125900268554690342e+01 2.284853333333333259e-04
-1.690012613932299956e+00 7.125350189208980112e+01 5.165763333333334107e-04
-1.646677652994799956e+00 7.124700164794920454e+01 3.675643333333333406e-04
-1.606648763020799953e+00 7.124099731445309658e+01 6.059858333333332939e-04
-1.566670735677099913e+00 7.123500061035160513e+01 3.377616666666667026e-04
-1.523335774739599913e+00 7.122850036621089487e+01 6.357846666666665562e-04
-1.483357747395799953e+00 7.122250366210940342e+01 1.033155333333333386e-03
-1.443328857421900091e+00 7.121649932861329546e+01 7.152596666666666313e-04
-1.403350830078099909e+00 7.121050262451170454e+01 4.967093666666666648e-04
-1.360015869140599909e+00 7.120400238037109375e+01 4.569716666666667217e-04
-1.319986979166700047e+00 7.119799804687500000e+01 1.589473333333333422e-04
-1.280008951822900087e+00 7.119200134277339487e+01 3.377610000000000074e-04
